Layer	PeoplePromise	theme	SubTheme	FurtherSubTheme	routingownersecondary	Notes
3	-	dissatisfaction with reporting	-	-	CIRG	
3	-	distrust	-	-	CIRG	
3	-	distrust in processes	-	-	CIRG	
3	-	drained	-	-	PERRG	
3	-	dread	-	-	PERRG	
3	-	effectiveness discussions	-	-	PERRG	
3	-	emotional depletion	-	-	PERRG	
3	-	emotional exhaustion	-	-	PERRG	
3	-	emotional fatigue	-	-	PERRG	
3	-	emotional strain	-	-	PERRG	
3	-	empathy	-	-	CIRG	
3	-	empowerment	-	-	CIRG	
3	-	encouragement	-	-	CIRG	
3	-	engagement	-	-	CIRG	
3	-	enjoy working with team	-	-	CIRG	
3	-	enjoyment of work	-	-	CIRG	
3	-	enthusiasm	-	-	CIRG	
3	-	environment	-	-	CIRG	
3	-	equal opportunities	-	-	CIRG	
3	-	equipment shortages	-	-	PERRG	
3	-	excluded from decisions	-	-	CIRG	
3	-	exclusion	-	-	CIRG	
3	-	exhaustion	-	-	PERRG	
3	-	facilities	-	-	PERRG	
3	-	fairness	-	-	CIRG	
3	-	fairness concerns	-	-	CIRG	
3	-	fatigue	-	-	PERRG	
3	-	favouritism	-	-	CIRG	
3	-	fear	-	-	CIRG	
3	-	fear of blame	-	-	CIRG	
3	-	fear of repercussions	-	-	CIRG	
3	-	fear of retaliation	-	-	CIRG	
3	-	feeling dismissed	-	-	CIRG	
3	-	feeling overlooked	-	-	CIRG	
3	-	feeling unsupported	-	-	PEGG	
3	-	feeling unwell	-	-	PERRG	
3	-	feeling valued	-	-	CIRG	
3	-	financial stress	-	-	PERRG	
3	-	flexibility	-	-	CIRG	
3	-	flexibility in team work	-	-	CIRG	
3	-	flexible patterns	-	-	CIRG	
3	-	flexible shifts	-	-	CIRG	
3	-	flexible working	-	-	CIRG	
3	-	flexible working discussions	-	-	CIRG	
3	-	flow	-	-	CIRG	
3	-	follow-through	-	-	CIRG	
3	-	food availability	-	-	PERRG	
3	-	freedom	-	-	CIRG	
3	-	freedom in work	-	-	CIRG	
3	-	freedom to raise issues	-	-	CIRG	
3	-	frustration	-	-	CIRG	
3	-	Funding allocation for education	-	-	NHSE Contract Assurance	
3	-	general comments	-	-	CIRG	
3	-	general concerns	-	-	CIRG	
3	-	general pay dissatisfaction	-	-	CIRG	
3	-	goal setting	-	-	CIRG	
3	-	good place to work	-	-	PERRG	
3	-	government policy	-	-	PEGG	
3	-	harassment	-	-	CIRG	
3	-	health impacts	-	-	PERRG	
3	-	healthy balance	-	-	CIRG	
3	-	healthy disagreement	-	-	CIRG	
3	-	helpful appraisal	-	-	CIRG	
3	-	hierarchy	-	-	CIRG	
3	-	ideas not acted on	-	-	PEGG	
3	-	ignored	-	-	CIRG	
3	-	impact	-	-	PERRG	
